NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 12      , West Floor 12                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         77.92
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 12      , West Floor 12                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         81.14
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 12      , West Floor 12                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         19.31
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 12      , West Floor 12                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 12      , West Floor 12                          ,            34.110  ,   Trim - 1st Coat Prime          ,          6.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 12      , West Floor 12                          ,            50.500  ,   AESS Steel                     ,           .24
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 12      , West Floor 12                          ,            50.800  ,   Stair Metal                    ,           .16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 12      , West Floor 12                          ,            60.200  ,   Sizing                         ,          2.97
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,        200.00
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,              ,                                        ,            80.120  ,   PWT Only Punchlilst            ,         70.70
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.300  ,   Steel Railings                 ,         34.00
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.600  ,   Lintels                        ,         38.00
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   EX01       , Exterior                               ,            80.800  ,   Contingency - Original         ,        189.00
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL01       , Floor 1A                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        259.44
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL01       , Floor 1A                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        329.82
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL01       , Floor 1A                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        329.82
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL01       , Floor 1A                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         76.00
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL01       , Floor 1A                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        210.74
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL01       , Floor 1A                               ,            24.110  ,   CMU Walls - Blockfiller        ,        115.06
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL01       , Floor 1A                               ,            26.110  ,   Floor Sealer                   ,         81.74

NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL01       , Floor 1A                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         14.00
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL01       , Floor 1A                               ,            28.130  ,   Frames Only - 1st/2nd Coat     ,        144.00
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL02       , Floor 2                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,        195.62
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL02       , Floor 2                                ,            21.120  ,   Walls - 2nd Coat Finish        ,        201.58
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL02       , Floor 2                                ,            21.130  ,   Walls - 3rd Coat Finish        ,        201.58
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL02       , Floor 2                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         85.90
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL02       , Floor 2                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        111.78
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL02       , Floor 2                                ,            26.110  ,   Floor Sealer                   ,         33.12
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL02       , Floor 2                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         12.00
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL02       , Floor 2                                ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         92.00
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL02       , Floor 2                                ,            30.130  ,   Special Coating - Finish Coat  ,          6.72
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL03       , Floor 3                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         64.04
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL03       , Floor 3                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         71.40
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL03       , Floor 3                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         71.40
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL03       , Floor 3                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         17.30
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL03       , Floor 3                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         29.04
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL03       , Floor 3                                ,            26.110  ,   Floor Sealer                   ,          3.51
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL03       , Floor 3                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          4.00
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL03       , Floor 3                                ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         48.00
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL04       , Floor 4                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         65.33
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL04       , Floor 4                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         75.35
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL04       , Floor 4                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         75.35
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL04       , Floor 4                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         12.62
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL04       , Floor 4                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         39.12
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL04       , Floor 4                                ,            26.110  ,   Floor Sealer                   ,          5.41
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL04       , Floor 4                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          4.00
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   FL04       , Floor 4                                ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         43.00
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   ST01       , Stairs 01                              ,            24.110  ,   CMU Walls - Blockfiller        ,        129.79
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   ST01       , Stairs 01                              ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         64.90
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   ST01       , Stairs 01                              ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         64.90
NL:      195.19.1  ,  Reed Elementary School                             ,01, =    , 01, = ,   ST01       , Stairs 01                              ,            50.800  ,   Stair Metal                    ,         98.00
